size_MB,latency_ns
0.00049,0.942
0.00098,0.942
0.00195,0.942
0.00293,0.942
0.00391,0.942
0.00586,0.942
0.00781,0.942
0.01172,0.942
0.01562,0.942
0.02344,0.942
0.03125,0.942
0.04688,2.092
0.06250,2.305
0.09375,2.698
0.12500,2.747
0.18750,2.788
0.25000,2.801
0.37500,2.815
0.50000,2.958
0.75000,4.057
1.00000,3.945
1.50000,4.042
2.00000,3.807
3.00000,4.012
4.00000,3.874
6.00000,3.801
8.00000,3.891
12.00000,4.071
16.00000,4.979
24.00000,8.990
32.00000,9.359
48.00000,12.309
64.00000,11.236
96.00000,11.910
128.00000,12.157
192.00000,14.798
256.00000,14.931
384.00000,14.929
512.00000,14.869
768.00000,14.995
1024.00000,14.924
1536.00000,14.991
2048.00000,14.850
